ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,ดอยหล่อ,1,50160,
,ฝาง,2,50110/50320,
,พร้าว,1,50190,
,เมืองเชียงใหม่,5,50000/50100/50200/50290/50300,
,แม่แจ่ม,1,50270,
,แม่แตง,2,50150/50330,
,แม่ริม,2,50180/50330,
,แม่วาง,1,50360,
,แม่ออน,1,50130,
,แม่อาย,1,50280,
,เวียงแหง,1,50350,
,สะเมิง,1,50250,
,สันกำแพง,1,50130,
,สันทราย,2,50210/50290,
,สันป่าตอง,1,50120,
,สารภี,1,50140,
,หางดง,2,50230/50340,
,อมก๋อย,1,50310,
,ฮอด,1,50240,
เชียงใหม่ Total,,29,50000/50100/50110/50120/50130/50140/50150/50160/50170/50180/50190/50200/50210/50220/50230/50240/50250/50260/50270/50280/50290/50300/50310/50320/50330/50340/50350/50360/58130,
ตรัง,กันตัง,1,92110,
,นาโยง,1,92170,
,ปะเหลียน,3,92120/92140/92180,
,เมืองตรัง,3,92000/92170/92190,
,ย่านตาขาว,1,92140,
,รัษฎา,2,92130/92160,
,วังวิเศษ,2,92000/92220,
,สิเกา,2,92000/92150,
,ห้วยยอด,3,92130/92190/92210,
,หาดสำราญ,1,92120,
ตรัง Total,,12,92000/92110/92120/92130/92140/92150/92160/92170/92180/92190/92210/92220,
ตราด,เกาะกูด,2,23000/23120,
,เกาะช้าง,1,23170,
,เขาสมิง,2,23130/23150,
,คลองใหญ่,1,23110,
,บ่อไร่,1,23140,
,เมืองตราด,1,23000,
,แหลมงอบ,1,23120,
ตราด Total,,7,23000/23110/23120/23130/23140/23150/23170,
ตาก,ท่าสองยาง,1,63150,
,บ้านตาก,1,63120,
,พบพระ,1,63160,
,เมืองตาก,1,63000,
,แม่ระมาด,1,63140,
,แม่สอด,1,63110,
,วังเจ้า,1,63180,
,สามเงา,1,63130,
,อุ้มผาง,1,63170,
ตาก Total,,9,63000/63110/63120/63130/63140/63150/63160/63170/63180,
นครนายก,บ้านนา,1,26110,
,ปากพลี,1,26130,
,เมืองนครนายก,2,26000/26001,
,องครักษ์,1,26120,
นครนายก Total,,5,26000/26001/26110/26120/26130,
นครปฐม,กำแพงแสน,2,73140/73180,
,ดอนตูม,1,73150,
,นครชัยศรี,1,73120,
,บางเลน,2,73130/73190,
,พุทธมณฑล,1,73170,
