ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
PostCode,Distinct Count of ProvinceThai,ProvinceList,,
23120,1,ตราด,,
23130,1,ตราด,,
23140,1,ตราด,,
23150,1,ตราด,,
23170,1,ตราด,,
24000,1,ฉะเชิงเทรา,,
24110,1,ฉะเชิงเทรา,,
24120,1,ฉะเชิงเทรา,,
24130,1,ฉะเชิงเทรา,,
24140,1,ฉะเชิงเทรา,,
24150,1,ฉะเชิงเทรา,,
24160,1,ฉะเชิงเทรา,,
24170,1,ฉะเชิงเทรา,,
24180,1,ฉะเชิงเทรา,,
24190,1,ฉะเชิงเทรา,,
25000,1,ปราจีนบุรี,,
25110,1,ปราจีนบุรี,,
25130,1,ปราจีนบุรี,,
25140,1,ปราจีนบุรี,,
25150,1,ปราจีนบุรี,,
25190,1,ปราจีนบุรี,,
25220,1,ปราจีนบุรี,,
25230,1,ปราจีนบุรี,,
25240,1,ปราจีนบุรี,,
26000,1,นครนายก,,
26001,1,นครนายก,,
26110,1,นครนายก,,
26120,1,นครนายก,,
26130,1,นครนายก,,
27000,1,สระแก้ว,,
27120,1,สระแก้ว,,
27160,1,สระแก้ว,,
27180,1,สระแก้ว,,
27210,1,สระแก้ว,,
27250,1,สระแก้ว,,
27260,1,สระแก้ว,,
30000,1,นครราชสีมา,,
30110,1,นครราชสีมา,,
30120,1,นครราชสีมา,,
30130,2,นครราชสีมา / สระบุรี,,
30140,1,นครราชสีมา,,
30150,1,นครราชสีมา,,
30160,1,นครราชสีมา,,
30170,1,นครราชสีมา,,
30180,1,นครราชสีมา,,
30190,1,นครราชสีมา,,
30210,1,นครราชสีมา,,
30220,1,นครราชสีมา,,
30230,1,นครราชสีมา,,
30240,1,นครราชสีมา,,
30250,1,นครราชสีมา,,
30260,1,นครราชสีมา,,
30270,1,นครราชสีมา,,
30280,1,นครราชสีมา,,
30290,1,นครราชสีมา,,
30310,1,นครราชสีมา,,
30320,1,นครราชสีมา,,
30330,1,นครราชสีมา,,
30340,1,นครราชสีมา,,
30350,1,นครราชสีมา,,
30360,1,นครราชสีมา,,
30370,1,นครราชสีมา,,
30380,1,นครราชสีมา,,
30410,1,นครราชสีมา,,
30420,1,นครราชสีมา,,
30430,1,นครราชสีมา,,
30440,1,นครราชสีมา,,
31000,1,บุรีรัมย์,,
31110,1,บุรีรัมย์,,
31120,1,บุรีรัมย์,,
31130,1,บุรีรัมย์,,
31140,1,บุรีรัมย์,,
31150,1,บุรีรัมย์,,
31160,1,บุรีรัมย์,,
31170,1,บุรีรัมย์,,
31180,1,บุรีรัมย์,,
31190,1,บุรีรัมย์,,
31210,1,บุรีรัมย์,,
31220,1,บุรีรัมย์,,
31230,1,บุรีรัมย์,,
31240,1,บุรีรัมย์,,
31250,1,บุรีรัมย์,,
31260,1,บุรีรัมย์,,
32000,1,สุรินทร์,,
32110,1,สุรินทร์,,
32120,1,สุรินทร์,,
32130,1,สุรินทร์,,
32140,1,สุรินทร์,,
32150,1,สุรินทร์,,
32160,1,สุรินทร์,,
32170,1,สุรินทร์,,
