ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
PostCode,Distinct Count of ProvinceThai,ProvinceList,,
84100,1,สุราษฎร์ธานี,,
84110,1,สุราษฎร์ธานี,,
84120,1,สุราษฎร์ธานี,,
84130,1,สุราษฎร์ธานี,,
84140,1,สุราษฎร์ธานี,,
84150,1,สุราษฎร์ธานี,,
84160,1,สุราษฎร์ธานี,,
84170,1,สุราษฎร์ธานี,,
84180,1,สุราษฎร์ธานี,,
84190,1,สุราษฎร์ธานี,,
84210,1,สุราษฎร์ธานี,,
84220,1,สุราษฎร์ธานี,,
84230,1,สุราษฎร์ธานี,,
84240,1,สุราษฎร์ธานี,,
84250,1,สุราษฎร์ธานี,,
84260,1,สุราษฎร์ธานี,,
84270,1,สุราษฎร์ธานี,,
84280,1,สุราษฎร์ธานี,,
84290,1,สุราษฎร์ธานี,,
84310,1,สุราษฎร์ธานี,,
84320,1,สุราษฎร์ธานี,,
84330,1,สุราษฎร์ธานี,,
84340,1,สุราษฎร์ธานี,,
84350,1,สุราษฎร์ธานี,,
84360,1,สุราษฎร์ธานี,,
84370,1,สุราษฎร์ธานี,,
85000,1,ระนอง,,
85110,1,ระนอง,,
85120,1,ระนอง,,
85130,1,ระนอง,,
86000,1,ชุมพร,,
86100,1,ชุมพร,,
86110,1,ชุมพร,,
86120,1,ชุมพร,,
86130,1,ชุมพร,,
86140,1,ชุมพร,,
86150,1,ชุมพร,,
86160,1,ชุมพร,,
86170,1,ชุมพร,,
86180,1,ชุมพร,,
86190,1,ชุมพร,,
86210,1,ชุมพร,,
86220,1,ชุมพร,,
86230,1,ชุมพร,,
90000,1,สงขลา,,
90100,1,สงขลา,,
90110,1,สงขลา,,
90112,1,สงขลา,,
90115,1,สงขลา,,
90120,1,สงขลา,,
90130,1,สงขลา,,
90140,1,สงขลา,,
90150,1,สงขลา,,
90160,1,สงขลา,,
90170,1,สงขลา,,
90180,1,สงขลา,,
90190,1,สงขลา,,
90210,1,สงขลา,,
90220,1,สงขลา,,
90230,1,สงขลา,,
90240,1,สงขลา,,
90250,1,สงขลา,,
90260,1,สงขลา,,
90270,1,สงขลา,,
90280,1,สงขลา,,
90310,1,สงขลา,,
90320,1,สงขลา,,
90330,1,สงขลา,,
91000,1,สตูล,,
91110,1,สตูล,,
91120,1,สตูล,,
91130,1,สตูล,,
91140,1,สตูล,,
91150,1,สตูล,,
91160,1,สตูล,,
92000,1,ตรัง,,
92110,1,ตรัง,,
92120,1,ตรัง,,
92130,1,ตรัง,,
92140,1,ตรัง,,
92150,1,ตรัง,,
92160,1,ตรัง,,
92170,1,ตรัง,,
92180,1,ตรัง,,
92190,1,ตรัง,,
92210,1,ตรัง,,
92220,1,ตรัง,,
93000,1,พัทลุง,,
93110,1,พัทลุง,,
93120,1,พัทลุง,,
93130,1,พัทลุง,,
93140,1,พัทลุง,,
93150,1,พัทลุง,,
93160,1,พัทลุง,,
93170,1,พัทลุง,,
93180,1,พัทลุง,,
93190,1,พัทลุง,,
93210,1,พัทลุง,,
94000,1,ปัตตานี,,
94110,1,ปัตตานี,,
94120,1,ปัตตานี,,
94130,1,ปัตตานี,,
94140,1,ปัตตานี,,
94150,1,ปัตตานี,,
94160,1,ปัตตานี,,
94170,1,ปัตตานี,,
94180,1,ปัตตานี,,
94190,1,ปัตตานี,,
94220,1,ปัตตานี,,
94230,1,ปัตตานี,,
95000,1,ยะลา,,
95110,1,ยะลา,,
95120,1,ยะลา,,
95130,1,ยะลา,,
95140,1,ยะลา,,
95150,1,ยะลา,,
95160,1,ยะลา,,
95170,1,ยะลา,,
96000,1,นราธิวาส,,
96110,1,นราธิวาส,,
96120,1,นราธิวาส,,
96130,1,นราธิวาส,,
96140,1,นราธิวาส,,
96150,1,นราธิวาส,,
96160,1,นราธิวาส,,
96170,1,นราธิวาส,,
96180,1,นราธิวาส,,
96190,1,นราธิวาส,,
96210,1,นราธิวาส,,
96220,1,นราธิวาส,,
Grand Total,77,กระบี่ / กรุงเทพมหานคร / กาญจนบุรี / กาฬสินธุ์ / กำแพงเพชร / ขอนแก่น / จันทบุรี / ฉะเชิงเทรา / ชลบุรี / ชัยนาท / ชัยภูมิ / ชุมพร / เชียงราย / เชียงใหม่ / ตรัง / ตราด / ตาก / นครนายก / นครปฐม / นครพนม / นครราชสีมา / นครศรีธรรมราช / นครสวรรค์ / นนทบุรี / นราธิวาส / น่าน / บึงกาฬ / บุรีรัมย์ / ปทุมธานี / ประจวบคีรีขันธ์ / ปราจีนบุรี / ปัตตานี / พระนครศรีอยุธยา / พะเยา / พังงา / พัทลุง / พิจิตร / พิษณุโลก / เพชรบุรี / เพชรบูรณ์ / แพร่ / ภูเก็ต / มหาสารคาม / มุกดาหาร / แม่ฮ่องสอน / ยโสธร / ยะลา / ร้อยเอ็ด / ระนอง / ระยอง / ราชบุรี / ลพบุรี / ลำปาง / ลำพูน / เลย / ศรีสะเกษ / สกลนคร / สงขลา / สตูล / สมุทรปราการ / สมุทรสงคราม / สมุทรสาคร / สระแก้ว / สระบุรี / สิงห์บุรี / สุโขทัย / สุพรรณบุรี / สุราษฎร์ธานี / สุรินทร์ / หนองคาย / หนองบัวลำภู / อ่างทอง / อำนาจเจริญ / อุดรธานี / อุตรดิตถ์ / อุทัยธานี / อุบลราชธานี,,
